"","title","authors","keywords","doi"
"12","WASP (Write a Scientific Paper) using Excel - 3: Plotting data.","Grech V.","Biostatistics; Computers; Software; Statistics","10.1016/j.earlhumdev.2018.01.004"
"13","WASP (Write a Scientific Paper) using Excel - 1: Data entry and validation.","Grech V.","Biostatistics; Computers; Software; Statistics","10.1016/j.earlhumdev.2018.01.002"
"14","WASP (Write a Scientific Paper) using Excel - 2: Pivot tables.","Grech V.","Biostatistics; Computers, statistics; Software","10.1016/j.earlhumdev.2018.01.003"
"15","WASP (Write a Scientific Paper) using Excel - 4: Histograms.","Grech V.","Biostatistics; Computers; Software; Statistics","10.1016/j.earlhumdev.2018.01.005"
"16","Unit of analysis issues in laboratory-based research.","Parsons NR, Teare MD, Sitch AJ.","Science Forum; epidemiology; experimental design; global health; mixed-effects models; statistics","10.7554/eLife.32486"
"17","Critical low temperature for the survival of Aedes aegypti in Taiwan.","Tsai PJ, Lin TH, Teng HJ, Yeh HC.","Aedes aegypti; Inverse distance weighting; Local polynomial interpolation; Moderate resolution imaging spectroradiometer; Ordinary kriging; Phi coefficient; Radial basis function","10.1186/s13071-017-2606-6"
"18","Evolutionary dynamics of incubation periods.","Ottino-Loffler B, Scott JG,, Strogatz SH.","complex networks; computational biology; evolutionary graph theory; human; incubation period; infectious disease; mathematical model; systems biology","10.7554/eLife.30212"
"19","Permutations of functional magnetic resonance imaging classification may not be normally distributed.","Al-Rawi MS,, Freitas A, Duarte JV, Cunha JP,, Castelo-Branco M,.","Anderson–Darling test; Permutation testing; central limit theorem; classification analysis; normality","10.1177/0962280215601707"
"20","A state transition framework for patient-level modeling of engagement and retention in HIV care using longitudinal cohort data.","Lee H, Hogan JW,, Genberg BL, Wu XK, Musick BS, Mwangi A,, Braitstein P,,,,.","HIV care cascade; HIV care continuum; healthcare system evaluation; multistate models; state transition representation","10.1002/sim.7502"
"21","Integrating medical biostatistics into postgraduate medical curriculum.","Ille TM, Muthukrishnan R, Ille ME.","NA","10.4103/0970-258X.218676"
"22","Navigating in the vast and deep oceans of high-dimensional biological data.","Tchitchek N.","NA","10.1016/j.ymeth.2017.11.009"
"23","Guidelines for Genome-Scale Analysis of Biological Rhythms.","Hughes ME, Abruzzi KC, Allada R, Anafi R, Arpat AB,, Asher G, Baldi P, de Bekker C, Bell-Pedersen D, Blau J, Brown S, Ceriani MF, Chen Z, Chiu JC, Cox J, Crowell AM, DeBruyne JP, Dijk DJ, DiTacchio L, Doyle FJ, Duffield GE, Dunlap JC, Eckel-Mahan K, Esser KA, FitzGerald GA, Forger DB, Francey LJ, Fu YH, Gachon F, Gatfield D, de Goede P, Golden SS, Green C, Harer J, Harmer S, Haspel J, Hastings MH, Herzel H, Herzog ED, Hoffmann C, Hong C, Hughey JJ, Hurley JM, de la Iglesia HO, Johnson C, Kay SA, Koike N, Kornacker K, Kramer A, Lamia K, Leise T, Lewis SA, Li J,, Li X, Liu AC, Loros JJ, Martino TA, Menet JS, Merrow M, Millar AJ, Mockler T, Naef F, Nagoshi E, Nitabach MN, Olmedo M, Nusinow DA, Ptácek LJ, Rand D, Reddy AB, Robles MS, Roenneberg T, Rosbash M, Ruben MD, Rund SSC, Sancar A, Sassone-Corsi P, Sehgal A, Sherrill-Mix S, Skene DJ, Storch KF, Takahashi JS, Ueda HR, Wang H, Weitz C, Westermark PO, Wijnen H, Xu Y, Wu G, Yoo SH, Young M, Zhang EE, Zielinski T, Hogenesch JB.","ChIP-seq; RNA-seq; biostatistics; circadian rhythms; computational biology; diurnal rhythms; functional genomics; guidelines; metabolomics; proteomics; systems biology","10.1177/0748730417728663"
"24","Network meta-analysis: application and practice using Stata.","Shim S, Yoon BH, Shin IS, Bae JM.","Biostatistic; Mixed treatment comparison; Network meta-analysis; Treatment outcome","10.4178/epih.e2017047"
"25","A random-censoring Poisson model for underreported data.","de Oliveira GL, Loschi RH, Assunção RM.","Bayesian inference; censoring; data augmentation; infant mortality; underreporting","10.1002/sim.7456"
"26","Anthropometric dimensions provide reliable estimates of abdominal adiposity: A validation study.","Pintér Z, Pósa A, Varga C, Horváth I, Palkó A, Just Z, Pálfi G.","NA","10.1016/j.jchb.2017.08.001"
"27","A mechanistic nonlinear model for censored and mismeasured covariates in longitudinal models, with application in AIDS studies.","Zhang H, Wong H, Wu L.","AIDS; censoring; joint model; measurement error; nonlinear mixed effects model","10.1002/sim.7515"
"28","Elastic Surface Model For Beta-Barrels: Geometric, Computational, And Statistical Analysis.","Toda M, Zhang F, Athukorallage B.","beta barrel; generalized Willmore energy; mean curvature; minimal surface; protein structure","10.1002/prot.25400"
"29","A review of tensor-based methods and their application to hospital care data.","Giordani P, Kiers HAL.","3-way data; Candecomp/Parafac; Tucker3; hospital care data; tensor-based methods","10.1002/sim.7514"
"30","A Generally Efficient Targeted Minimum Loss Based Estimator based on the Highly Adaptive Lasso.","van der Laan M.","Donsker class; asymptotic linear estimator; canonical gradient; cross-validated targeted minimum loss estimation (CV-TMLE); efficient estimator; efficient influence curve; empirical process; entropy; highly adaptive Lasso; influence curve; one-step TMLE; super-learning; targeted minimum loss estimation (TMLE)","10.1515/ijb-2015-0097"
"31","Semiparametric accelerated failure time cure rate mixture models with competing risks.","Choi S, Zhu L, Huang X.","competing risks; cure fraction; kernel smoothing; mixture model; nonparametric likelihood; subdistribution","10.1002/sim.7508"
"32","Linnorm: improved statistical analysis for single cell RNA-seq expression data.","Yip SH,,, Wang P, Kocher JA, Sham PC,,, Wang J,.","NA","10.1093/nar/gkx828"
"33","Generalized linear mixed model for binary outcomes when covariates are subject to measurement errors and detection limits.","Xie X, Xue X, Strickler HD.","Monte Carlo Newton-Raphson; detection limit; generalized linear mixed model; longitudinal data; measurement error","10.1002/sim.7509"
"34","Simultaneous inference for factorial multireader diagnostic trials.","Konietschke F, Aguayo RR, Staab W.","ROC curves; factorial designs; multiple comparisons; nonparametrics","10.1002/sim.7507"
"35","Improving likelihood-based inference in control rate regression.","Guolo A.","control rate; higher-order asymptotics; likelihood inference; measurement error; meta-analysis","10.1002/sim.7511"
"36","Blended learning is an effective strategy for acquiring competence in public health biostatistics.","Milic N, Masic S, Bjegovic-Mikanovic V, Trajkovic G, Marinkovic J, Milin-Lazovic J, Bukumiric Z, Savic M, Cirkovic A, Gajic M, Stanisavljevic D.","Biostatistics; Blended learning; Competences; Master; Public health","10.1007/s00038-017-1039-5"
"37","Direct likelihood inference on the cause-specific cumulative incidence function: A flexible parametric regression modelling approach.","Mozumder SI, Rutherford M, Lambert P,.","competing risks; cumulative incidence; flexible parametric; regression; subdistribution hazards; survival analysis","10.1002/sim.7498"
"38","An efficient Riemannian statistical shape model using differential coordinates: With application to the classification of data from the Osteoarthritis Initiative.","von Tycowicz C, Ambellan F, Mukhopadhyay A, Zachow S.","Classification; Manifold valued statistics; Principal geodesic analysis; Riemannian metrics; Statistical shape analysis","10.1016/j.media.2017.09.004"
"39","Bayesian noninferiority test for 2 binomial probabilities as the extension of Fisher exact test.","Doi M,, Takahashi F,, Kawasaki Y,.","Bayesian noninferiority test; Fisher exact test; binomial probability; conditional power prior; historical data; posterior probability","10.1002/sim.7495"
"40","Optimum design and sequential treatment allocation in an experiment in deep brain stimulation with sets of treatment combinations.","Atkinson A, Pedrosa D.","Burman loss; extended equivalence theorem; prognostic factors; randomization; sequential design; treatment balance","10.1002/sim.7493"
"41","Bayesian hierarchical model for analyzing multiresponse longitudinal pharmacokinetic data.","Zhao L, Xia Z.","MCMC algorithm; hierarchical model; pharmacokinetic; traditional Chinese medicine","10.1002/sim.7505"
"42","A Comparison of Methods for Estimating the Determinant of High-Dimensional Covariance Matrix.","Hu Z, Dong K, Dai W, Tong T.","covariance matrix; high-dimensional data; log-determinant,sparse matrix; shrinkage estimation; thresholding estimation","10.1515/ijb-2017-0013"
"43","Efficient treatment allocation in 2 × 2 multicenter trials when costs and variances are heterogeneous.","Lemme F, van Breukelen GJP,, Candel MJJM,.","2<U+2009>×<U+2009>2 factorial design; balanced design; heterogeneous costs; heterogeneous variance; multicenter trial","10.1002/sim.7499"
"44","Type I error probability spending for post-market drug and vaccine safety surveillance with binomial data.","Silva IR.","expected time to signal; score statistic; sequential probability ratio test","10.1002/sim.7504"
"45","Validating effectiveness of subgroup identification for longitudinal data.","Andrews N, Cho H.","classification algorithm; effectiveness of subgrouping; personalized treatment; random effects linear model","10.1002/sim.7500"
"46","Treatment evaluation for a data-driven subgroup in adaptive enrichment designs of clinical trials.","Zhang Z, Chen R, Soon G, Zhang H.","bootstrap; cross-validation; precision medicine; predictive biomarker; subgroup analysis; treatment effect heterogeneity","10.1002/sim.7497"
"47","ESMO-Magnitude of Clinical Benefit Scale version 1.1.","Cherny NI, Dafni U, Bogaerts J, Latino NJ, Pentheroudakis G, Douillard JY, Tabernero J, Zielinski C, Piccart MJ, de Vries EGE.","European Society for Medical Oncology; biostatistics; magnitude of clinical benefit scale; single arm studies","10.1093/annonc/mdx310"
"48","Prospects of Fine-Mapping Trait-Associated Genomic Regions by Using Summary Statistics from Genome-wide Association Studies.","Benner C, Havulinna AS, Järvelin MR, Salomaa V, Ripatti S, Pirinen M.","NA","10.1016/j.ajhg.2017.08.012"
"49","Basics of study design: Practical considerations (From the ""Biostatistics and Epidemiology Lecture Series, Part 1"").","Chatburn RL,,.","NA","10.3949/ccjm.84.s2.03"
"50","The architecture of clinical research (From the ""Biostatistics and Epidemiology Lecture Series, Part 1"").","Stoller JK,,.","NA","10.3949/ccjm.84.s2.02"
"51","Introduction: Biostatistics and epidemiology lecture series, part 1.","Kapoor A.","NA","10.3949/ccjm.84.s2.01"
"52","Estimating the prevalence and intensity of Schistosoma mansoni infection among rural communities in Western Tanzania: The influence of sampling strategy and statistical approach.","Bakuza JS,, Denwood MJ,, Nkwengulila G, Mable BK.","NA","10.1371/journal.pntd.0005937"
"53","Caring about Power Analyses.","Murray JE, Barrett ST, Brock RL, Bevins RA.","Data analyses; effect size; replication crisis; scientific rigor","10.1021/acschemneuro.7b00341"
"54","Label-invariant models for the analysis of meta-epidemiological data.","Rhodes KM, Mawdsley D, Turner RM,, Jones HE, Savovic J,, Higgins JPT.","Bayesian methods; Cochrane; heterogeneity; meta-epidemiology; randomised trials","10.1002/sim.7491"
"55","Accommodating the ecological fallacy in disease mapping in the absence of individual exposures.","Wang F, Wang J, Gelfand A, Li F.","CAR model; Gaussian process; Monte Carlo integrations; bias in parameters; shrinkage and smoothing","10.1002/sim.7494"
"56","Circular-circular regression model with a spike at zero.","Jha J, Biswas A.","EM algorithm; Möbius transformation; von Mises distribution; wrapped Cauchy distribution","10.1002/sim.7496"
"57","Infectious disease prediction with kernel conditional density estimation.","Ray EL,, Sakrejda K, Lauer SA, Johansson MA, Reich NG.","copula; dengue fever; infectious disease; influenza; kernel conditional density estimation; prediction","10.1002/sim.7488"
"58","Modeling conditional dependence among multiple diagnostic tests.","Wang Z, Dendukuri N,, Zar HJ, Joseph L,.","Bayesian inference; childhood pulmonary tuberculosis; correlations; fixed effects model; higher-order conditional dependence; latent class model","10.1002/sim.7449"
"59","Penalized estimation for proportional hazards models with current status data.","Lu M, Li CS.","current status data; efficient estimation; goodness-of-fit; isotonic regression; monotone B-spline; penalized estimation","10.1002/sim.7489"
"60","Data Science Priorities for a University Hospital-Based Institute of Infectious Diseases: A Viewpoint.","Valleron AJ.","epidemics; epidemiology; modeling; surveillance","10.1093/cid/cix351"
"61","Two-stage designs versus European scaled average designs in bioequivalence studies for highly variable drugs: Which to choose?","Molins E, Cobo E, Ocaña J.","average bioequivalence (ABE); highly variable drugs (HVD); reference scaled average bioequivalence (RSABE); significance level adjustment; two-stage designs (TSD)","10.1002/sim.7452"
"62","Survival trees for interval-censored survival data.","Fu W, Simonoff JS.","conditional inference tree; interval-censored data; survival tree","10.1002/sim.7450"
"63","Developing a Hypothesis and Statistical Planning.","Nizamuddin SL, Nizamuddin J, Mueller A, Ramakrishna H, Shahul SS.","alpha and beta values; biostatistics; clinical research; confidence intervals; hypothesis development; null hypothesis; research question; statistics","10.1053/j.jvca.2017.04.020"
"64","hybriddetective: A workflow and package to facilitate the detection of hybridization using genomic data in r.","Wringe BF, Stanley RRE, Jeffery NW, Anderson EC, Bradbury IR.","assignment tests; hybrid; introgression; population genetics; population structure; simulation","10.1111/1755-0998.12704"
"65","Analysis of panel data under hidden mover-stayer models.","Yi GY, He W, He F.","EM algorithm; hidden mover-stayer model; misclassification; panel data","10.1002/sim.7346"
"66","Inference on network statistics by restricting to the network space: applications to sexual history data.","Goyal R, De Gruttola V.","Bayesian; constrained distribution; egocentric data; network sampling; reporting error; sexual networks","10.1002/sim.7393"
"67","DoEstRare: A statistical test to identify local enrichments in rare genomic variants associated with disease.","Persyn E, Karakachoff M,, Le Scouarnec S, Le Clézio C, Campion D, Consortium FE, Schott JJ,, Redon R,, Bellanger L, Dina C,.","NA","10.1371/journal.pone.0179364"
"68","Resolution of Students t-tests, ANOVA and analysis of variance components from intermediary data.","Anders K.","analysis of variance; biostatistics; measurement comparisons","10.11613/BM.2017.026"
"69","[Clinical Research and Biostatistics].","Yamamoto K.","NA","10.11477/mf.1416200829"
"70","Estimating population effects of vaccination using large, routinely collected data.","Halloran ME,, Hudgens MG.","causal inference; dependent happenings; herd immunity; indirect effects; potential outcome; surveillance; vaccination","10.1002/sim.7392"
"71","Linear combinations come alive in crossover designs.","Shuster JJ.","Delta of Delta; crossover trial; linear combination; relative efficiency; variance","10.1002/sim.7396"
"72","Generalization of the QST framework in hierarchically structured populations: Impacts of inbreeding and dominance.","Cubry P,, Scotti I, Oddou-Muratorio S, Lefèvre F.","hierarchical F-statistics; hierarchical Q-statistics; quantitative genetics","10.1111/1755-0998.12693"
"73","Small steps to help improve the caliber of the reporting of statistics.","Curran-Everett D,.","NA","10.1152/advan.00049.2017"
"74","Generalized Confidence Intervals for Intra- and Inter-subject Coefficients of Variation in Linear Mixed-effects Models.","Forkman J.","bioanalytical method validation; generalized pivotal quantity; linear mixed model; semiparametric mixed-effects model; split-plot experiment","10.1515/ijb-2016-0093"
"75","Improved estimation of the cumulative incidence of rare outcomes.","Benkeser D, Carone M, Gilbert PB.","competing risks; rare events; survival analysis; targeted minimum loss-based estimation","10.1002/sim.7337"
"76","EcoGenetics: An R package for the management and exploratory analysis of spatial data in landscape genetics.","Roser LG, Ferreyra LI,, Saidman BO,, Vilardi JC,.","R; ecology; genetics; landscape genetics; package; spatial autocorrelation","10.1111/1755-0998.12697"
"77","Proteomic-Biostatistic Integrated Approach for Finding the Underlying Molecular Determinants of Hypertension in Human Plasma.","Gajjala PR, Jankowski V, Heinze G, Bilo G, Zanchetti A, Noels H, Liehn E, Perco P, Schulz A, Delles C, Kork F, Biessen E, Narkiewicz K, Kawecka-Jaszcz K, Floege J, Soranna D, Zidek W, Jankowski J.","antihypertensive agents; blood pressure; confidence intervals; hypertension; proteomics","10.1161/HYPERTENSIONAHA.116.08906"
"78","Many-to-one comparisons after safety selection in multi-arm clinical trials.","Hlavin G, Hampson LV,, Koenig F.","NA","10.1371/journal.pone.0180131"
"79","Novel inference models for estimation of abundance, survivorship and recruitment in mosquito populations using mark-release-recapture data.","Villela DAM, Garcia GA, Maciel-de-Freitas R.","NA","10.1371/journal.pntd.0005682"
"80","Quantification of Cardiomyocyte Alignment from Three-Dimensional (3D) Confocal Microscopy of Engineered Tissue.","Kowalski WJ, Yuan F, Nakane T, Masumoto H, Dwenger M, Ye F, Tinney JP, Keller BB.","alignment; cardiomyocyte; confocal; engineered cardiac tissue; structure tensor; whole mount","10.1017/S1431927617000666"
"81","Estimation in multi-arm two-stage trials with treatment selection and time-to-event endpoint.","Brückner M, Titman A, Jaki T.","adaptive design; bias; empirical Bayes; multi-arm trial; time-to-event","10.1002/sim.7367"
"82","Assessing the influence of rater and subject characteristics on measures of agreement for ordinal ratings.","Nelson KP, Mitani AA, Edwards D.","agreement; covariates; generalized linear mixed models; multiple raters; ordinal classifications","10.1002/sim.7323"
"83","Bayesian epidemic models for spatially aggregated count data.","Malesios C, Demiris N, Kalogeropoulos K, Ntzoufras I.","Bayesian modelling; Bayesian variable selection; branching process; disease control; epidemic extinction; g-prior; spatial kernel","10.1002/sim.7364"
"84","Sample size planning of two-arm superiority and noninferiority survival studies with discrete follow-up.","Wellek S,.","accelerated failure time models; expected information; interval censoring; maximum likelihood; random right censoring","10.1002/sim.7360"
"85","Matthew Hutmacher, MS (1969-2017).","Chapel S, Kowalski KG.","NA","10.1002/psp4.12215"
"86","Accuracy of predictive ability measures for survival models.","Flandre P, Deutsch R, O'Quigley J.","predictive ability; prognostic factors; proportional hazards model; residuals; survival analysis","10.1002/sim.7342"
"87","Information-adaptive clinical trials with selective recruitment and binary outcomes.","Barrett JE,.","adaptive clinical trials; logistic regression; optimal experimental design; selective recruitment","10.1002/sim.7353"
"88","Multidimensional latent trait linear mixed model: an application in clinical studies with multivariate longitudinal outcomes.","Wang J, Luo S.","MCMC; clinical trial; item response theory; latent variable model; random effects","10.1002/sim.7347"
"89","Predictive inference for best linear combination of biomarkers subject to limits of detection.","Coolen-Maturi T.","ROC curve; diagnostic accuracy; imprecise probability; limits of detection; lower and upper probabilities; nonparametric predictive inference","10.1002/sim.7317"
"90","More efficient parameter estimates for factor analysis of ordinal variables by ridge generalized least squares.","Yuan KH, Jiang G, Cheng Y.","polychoric correlation; rescaled and adjusted test statistics; root mean square error; sandwich-type standard error","10.1111/bmsp.12098"
"91","Smooth semi-nonparametric (SNP) estimation of the cumulative incidence function.","Duc AN, Wolbers M,.","competing risks; cumulative incidence function; interval censoring; mixture factorization; smooth semi-nonparametric (SNP) estimation","10.1002/sim.7331"
"92","Intermediate and advanced topics in multilevel logistic regression analysis.","Austin PC,,, Merlo J,.","clustered data; hierarchical models; logistic regression; multilevel analysis; multilevel models","10.1002/sim.7336"
"93","A Bayesian approach to model the conditional correlation between several diagnostic tests and various replicated subjects measurements.","Pereira da Silva HD, Ascaso C,, Gonçalves AQ,,, Orlandi PP, Abellana R,.","Bayesian approach; diagnostic test; latent class model; replicated measurement; sensitivity; specificity","10.1002/sim.7339"
"94","Estimation of exposure distribution adjusting for association between exposure level and detection limit.","Yang Y, Shelton BJ,, Tucker TT, Li L, Kryscio R,, Chen L,.","detection limits; environmental exposure; kernel smoothing; left-censored data; nonparametric estimator","10.1002/sim.7335"
"95","The INVEST project: investigating the use of evidence synthesis in the design and analysis of clinical trials.","Clayton GL, Smith IL, Higgins JPT, Mihaylova B, Thorpe B, Cicero R, Lokuge K, Forman JR, Tierney JF, White IR, Sharples LD, Jones HE.","Bayesian analysis; Decision models; Informative prior distributions; Meta-analysis; Network meta-analysis; Sample size calculations; Systematic review; Value of information analysis","10.1186/s13063-017-1955-y"
"96","A critical evaluation of the current ""p-value controversy"".","Wellek S,.","Bayesian inference; Data mining; Measures of evidence; Multiplicity correction; Prediction; Reproducibility of experiments","10.1002/bimj.201700001"
"97","Proximity and gravity: modeling heaped self-reports.","Allen CM, Griffith SD, Shiffman S, Heitjan DF,.","conditional distribution; ecological momentary assessment; rounded data; smoking cessation; timeline followback","10.1002/sim.7327"
"98","Exposure enriched outcome dependent designs for longitudinal studies of gene-environment interaction.","Sun Z, Mukherjee B,, Estes JP, Vokonas PS, Park SK,.","exposure enriched sampling; gene-environment interaction; longitudinal study; outcome dependent sampling; two-phase design","10.1002/sim.7332"
"99","P-value calibration in multiple hypotheses testing.","Cabras S,, Castellanos ME.","Bayes factor lower bound; non-parametric Bayes; objective Bayes; significance testing","10.1002/sim.7330"
"100","Online cross-validation-based ensemble learning.","Benkeser D, Ju C, Lendle S, van der Laan M.","cross-validation; dependent data ensemble learning; machine learning; online estimation; stochastic gradient descent; time-series","10.1002/sim.7320"
"101","Economic evaluation of factorial randomised controlled trials: challenges, methods and recommendations.","Dakin H, Gray A.","cost-utility analysis; factorial design; guidelines; randomised controlled trial; trial-based economic evaluation","10.1002/sim.7322"
"102","The use of permutation tests for the analysis of parallel and stepped-wedge cluster-randomized trials.","Wang R,, De Gruttola V.","cluster-randomized trials; pair-matched design; permutation test; stepped-wedge design; time-to-event endpoints","10.1002/sim.7329"
"103","A comparison of individual-based genetic distance metrics for landscape genetics.","Shirk AJ, Landguth EL, Cushman SA.","genetic distance; isolation by distance; isolation by resistance; landscape genetics; model selection; principal components analysis","10.1111/1755-0998.12684"
"104","multi-dice: r package for comparative population genomic inference under hierarchical co-demographic models of independent single-population size changes.","Xue AT, Hickerson MJ,.","aggregate site frequency spectrum; approximate Bayesian computation; comparative phylogeography; population genetics software; random forest","10.1111/1755-0998.12686"
"105","Current Dilemmas in Defining the Boundaries of Disease.","Doust J, Jean Walker M, Rogers WA.","biological function; biostatistical theory; disease boundaries; medicalization","10.1093/jmp/jhx009"
"106","Comparing performance of surgeons using risk-adjusted procedures.","Tang X, Gan FF.","Parsonnet scores; bootstrap procedure; logistic regression; odds ratio; risk profiles; standardized mortality ratio","10.1002/sim.7310"
"107","Simulation-based adjustment after exploratory biomarker subgroup selection in phase II.","Götte H, Kirchner M, Sailer MO, Kieser M.","ABC; bias adjustment; posterior approximation; probability of success; subgroup selection","10.1002/sim.7294"
"108","Improved methods for the marginal analysis of longitudinal data in the presence of time-dependent covariates.","Chen IC, Westgate PM.","correlation selection; empirical covariance matrix; generalized estimating equations; generalized method of moments; quadratic inference functions","10.1002/sim.7307"
"109","Developing a statistically powerful measure for quartet tree inference using phylogenetic identities and Markov invariants.","Sumner JG, Taylor A, Holland BR, Jarvis PD.","Markov chains; Phylogenetic invariants; Quartets; Representation theory","10.1007/s00285-017-1129-2"
"110","Efficacy of alprostadil for preventing of contrast-induced nephropathy: A meta-analysis.","Zhang JZ, Kang XJ, Gao Y, Zheng YY, Wu TT, Li L, Liu F, Yang YN, Li XM, Ma YT, Xie X.","NA","10.1038/s41598-017-01160-1"
"111","Dynamic probability control limits for risk-adjusted CUSUM charts based on multiresponses.","Zhang X, Loda JB, Woodall WH.","average run length (ARL); false alarm rate; proportional odds logistic regression; statistical process monitoring; surgical performance","10.1002/sim.7312"
"112","Fundamentals in Biostatistics for Investigation in Pediatric Dentistry: Part II -Biostatistical Methods.","Pozos-Guillén A, Ruiz-Rodríguez S, Garrocho-Rangel A.","Biostatistics; Dental Research; Evidence-based Dentistry; Pediatric Dentistry","10.17796/1053-4628-41.3.173"
"113","Bayesian exponential random graph modelling of interhospital patient referral networks.","Caimo A, Pallotti F, Lomi A.","Bayesian inference; Monte Carlo methods; exponential random graph models; interhospital patient referral networks; interorganisational networks; statistical models for social networks","10.1002/sim.7301"
"114","Bayesian inference on mixed-effects location scale models with skew-t distribution and mismeasured covariates for longitudinal data.","Lu T.","AIDS study; Bayesian inference; covariate measurement errors; longitudinal data; mixed-effects location scale models; skew-t distribution","10.1002/sim.7315"
"115","Two-stage test of means of unordered pairs.","Banerjee T, Chattopadhyay G, Banerjee K.","paired t-test; penalized spline regression; unordered pairs","10.1002/sim.7304"
"116","A flexible family of transformation cure rate models.","Koutras MV, Milienos FS.","EM-algorithm; cure rate models; cutaneous melanoma data; lifetime data; maximum likelihood estimators; profile likelihood; promotion time cure rate model","10.1002/sim.7293"
"117","Estimation of rank correlation for clustered data.","Rosner B, Glynn RJ.","Pearson correlation; clustered data; partial correlation; rank correlation","10.1002/sim.7257"
"118","A population-based approach to analyzing pulses in time series of hormone data.","Horton KW, Carlson NE, Grunwald GK, Mulvahill MJ, Polotsky AJ.","Bayesian; birth-and-death MCMC; hierarchical models; luteinizing hormone; reproductive hormones","10.1002/sim.7292"
"119","The logic of equivalence testing and its use in laboratory medicine.","Ialongo C.","biostatistics; methodological studies; statistical data analysis","10.11613/BM.2017.001"
"120","A comparison of Bayesian and Monte Carlo sensitivity analysis for unmeasured confounding.","McCandless LC, Gustafson P.","Bayesian analysis; causal inference; non-identifiable model; sensitivity analysis","10.1002/sim.7298"
"121","A design for phase I trials in completely or partially ordered groups.","Conaway MR.","cytotoxic agent; dose finding; heterogeneous groups","10.1002/sim.7295"
"122","Constrained binary classification using ensemble learning: an application to cost-efficient targeted PrEP strategies.","Zheng W, Balzer L, van der Laan M, Petersen M; SEARCH Collaboration.","Neyman-Pearson, sensitivity; PrEP; Super Learner; constrained binary classification; ensemble classification, cross-validation; rate of positive predictions","10.1002/sim.7296"
"123","Mixed models, linear dependency, and identification in age-period-cohort models.","O'Brien RM.","hierarchical age-period-cohort models; identification in age-period-cohort models; mixed age-period-cohort models; statistical model identification","10.1002/sim.7305"
"124","How old is this bird? The age distribution under some phase sampling schemes.","Hautphenne S,, Massaro M, Taylor P.","Age distribution; Petroica traversi; Phase-type distribution; Transient Markov chain","10.1007/s00285-017-1121-x"
"125","Extensions to Bayesian generalized linear mixed effects models for household tuberculosis transmission.","McIntosh AI,, Doros G, Jones-López EC, Gaeddert M, Jenkins HE, Marques-Rodrigues P, Ellner JJ, Dietze R, White LF.","Bayesian; bias; community; hierarchical models; household; infection; mixed effects models; risk factor; tuberculosis","10.1002/sim.7303"
"126","Relational event models for longitudinal network data with an application to interhospital patient transfers.","Vu D,, Lomi A, Mascia D, Pallotti F.","interhospital patient transfers; interorganizational relations; relational event models; social network analysis","10.1002/sim.7247"
"127","Testing small variance priors using prior-posterior predictive p values.","Hoijtink H, van de Schoot R.","NA","10.1037/met0000131"
